,player_final,player_final_value,actions_taken
473,"{2, 4, 6, 4, 9}",25,"{'H', 'H', 'H'}"
474,"{10, 7}",17,{'S'}
475,"{8, 7}",15,{'N'}
476,"{2, 3, 10, 6}",21,"{'N', 'H', 'H', 'S'}"
477,"{5, 7, 10}",22,{'H'}
478,"{2, 3, 9}",14,"{'H', 'S'}"
479,"{11, 10}",21,{'S'}
480,"{5, 6}",11,{}
481,"{10, 3}",13,{'S'}
482,"{8, 5, 10}",23,{'H'}
483,"{5, 10}",15,{'R'}
484,"{10, 2, 2, 10}",24,"{'H', 'H'}"
485,"{10, 11}",21,{'S'}
486,"{10, 7}",17,{'S'}
487,"{11, 6, 2}",19,{'D'}
488,"{5, 10, 3}",18,"{'H', 'S'}"
489,"{4, 5}",9,{'N'}
490,"{10, 9}",19,{'S'}
491,"{5, 8, 9}",22,{'H'}
492,"{2, 10, 3}",15,"{'H', 'S'}"
493,"{10, 6}",16,{'R'}
494,"{7, 11}",18,{'S'}
495,"{7, 11, 10}",18,{'D'}
496,"{5, 9, 8}",22,{'H'}
497,"{2, 10}",12,{'S'}
498,"{10, 5}",15,{'S'}
499,"{6, 11, 4}",21,"{'H', 'S'}"
500,"{9, 8}",17,{'S'}
501,"{3, 3, 9, 9}",24,"{'N', 'H', 'H'}"
502,"{2, 9, 8}",19,{'D'}
503,"{4, 10, 10}",24,{'H'}
504,"{7, 10}",17,{'S'}
505,"{11, 10}",21,{'S'}
506,"{10, 10}",20,{'S'}
507,"{11, 9}",20,{'S'}
508,"{10, 7}",17,{'S'}
509,"{3, 9}",12,{'S'}
510,"{5, 4, 9}",18,"{'H', 'S'}"
511,"{5, 8}",13,{'S'}
512,"{11, 10}",21,{'S'}
513,"{2, 7, 10}",19,"{'H', 'S'}"
514,"{9, 7}",16,{'S'}
515,"{7, 4, 5}",16,{'D'}
516,"{11, 4, 8, 7}",20,"{'H', 'H', 'S'}"
517,"{9, 10}",19,{'S'}
518,"{3, 2, 11, 4}",20,"{'H', 'H', 'S'}"
519,"{7, 7, 2, 8}",24,"{'H', 'H'}"
520,"{2, 10, 11, 5}",18,"{'H', 'H', 'S'}"
521,"{8, 5, 11, 10}",24,"{'H', 'H'}"
522,"{7, 10}",17,{'S'}
523,"{6, 6, 4, 3}",19,"{'H', 'H', 'S'}"
524,"{10, 6}",16,{'R'}
525,"{7, 7, 6}",20,"{'H', 'S'}"
526,"{10, 10}",20,{'S'}
527,"{5, 10, 10}",25,{'H'}
528,"{10, 10}",20,{'S'}
529,"{10, 9}",19,{'S'}
530,"{10, 3, 10}",23,{'H'}
531,"{10, 10}",20,{'S'}
532,"{7, 3, 8}",18,{'D'}
533,"{11, 11}",12,{'N'}
534,"{6, 11, 5, 10}",22,"{'H', 'H'}"
535,"{3, 3, 10, 3}",19,"{'H', 'H', 'S'}"
536,"{6, 4, 6}",16,{'D'}
537,"{8, 9}",17,"{'P', 'S'}"
537,"{8, 5}",13,{'S'}
538,"{10, 5}",15,{'S'}
539,"{10, 4, 2, 10}",26,"{'H', 'H'}"
540,"{10, 3}",13,{'S'}
541,"{6, 5, 2}",13,{'D'}
542,"{11, 3, 9}",13,"{'H', 'S'}"
543,"{10, 7}",17,{}
544,"{10, 10}",20,{'S'}
545,"{7, 3, 3}",13,{'D'}
546,"{11, 10}",21,{'S'}
547,"{6, 2}",8,{}
548,"{6, 8, 10}",24,{'H'}
549,"{3, 11, 3, 7}",14,"{'H', 'H', 'S'}"
550,"{8, 10}",18,{'S'}
551,"{3, 8, 10}",21,{'D'}
552,"{5, 8, 8}",21,"{'H', 'S'}"
553,"{3, 10}",13,{'S'}
554,"{6, 8, 5}",19,"{'H', 'S'}"
555,"{10, 11}",21,{'S'}
556,"{3, 10, 6}",19,"{'H', 'S'}"
557,"{9, 10}",19,"{'N', 'S'}"
558,"{11, 5, 10, 10}",26,"{'H', 'H'}"
559,"{10, 10}",20,{'S'}
560,"{4, 11, 4}",19,"{'H', 'S'}"
561,"{4, 10, 7}",21,"{'H', 'S'}"
562,"{4, 2, 3, 10}",19,"{'H', 'H', 'S'}"
563,"{10, 10}",20,{'S'}
564,"{2, 10}",12,{'S'}
565,"{10, 10}",20,{'S'}
566,"{10, 6}",16,{'S'}
567,"{10, 2, 11, 9}",22,"{'H', 'H'}"
568,"{6, 10}",16,{'R'}
569,"{10, 10}",20,{'S'}
570,"{2, 7, 11}",20,{'D'}
571,"{8, 10}",18,{'S'}
572,"{9, 9}",18,{'S'}
573,"{5, 7}",12,{'S'}
574,"{10, 6}",16,{'R'}
575,"{11, 7, 6}",14,{'D'}
576,"{8, 10}",18,{'S'}
577,"{2, 2, 6, 9}",19,"{'H', 'H', 'S'}"
578,"{5, 10}",15,{'S'}
579,"{10, 9}",19,{'S'}
580,"{11, 9}",20,{'S'}
581,"{7, 6, 5}",18,"{'H', 'S'}"
582,"{8, 7}",15,{'S'}
583,"{10, 8}",18,{'S'}
584,"{11, 4, 10, 10}",25,"{'H', 'H'}"
585,"{8, 10}",18,{'S'}
586,"{11, 9}",20,{'S'}
587,"{3, 8, 7}",18,{'D'}
588,"{11, 10}",21,{'S'}
589,"{7, 10}",17,{'S'}
590,"{8, 6}",14,{'S'}
591,"{7, 9}",16,{'S'}
592,"{5, 11, 8, 10}",24,"{'H', 'H'}"
593,"{2, 10, 5}",17,"{'N', 'H', 'S'}"
594,"{10, 3}",13,{'S'}
595,"{4, 3, 2, 3, 10}",22,"{'H', 'H', 'H'}"
596,"{10, 6}",16,{'R'}
597,"{6, 5, 4}",15,{'D'}
598,"{3, 7, 3}",13,{'D'}
599,"{3, 10}",13,{'S'}
600,"{6, 5, 4}",15,"{'N', 'D'}"
601,"{6, 11, 2}",19,{'D'}
602,"{10, 9}",19,{'S'}
603,"{2, 6, 4, 8}",20,"{'H', 'H', 'S'}"
604,"{10, 10}",20,{'S'}
605,"{10, 5}",15,{'R'}
606,"{2, 2, 10, 9}",23,"{'H', 'H'}"
607,"{5, 3, 10}",18,"{'H', 'S'}"
608,"{6, 11, 10}",17,"{'H', 'S'}"
609,"{4, 11, 8}",13,"{'H', 'S'}"
610,"{10, 10}",20,{'S'}
611,"{4, 11, 10, 4}",19,"{'H', 'H', 'S'}"
612,"{10, 4}",14,{'S'}
613,"{7, 11, 10}",18,{'D'}
614,"{4, 6, 6}",16,{'D'}
