,initial_hand
986,"{5, 10}"
987,"{6, 5}"
988,"{2, 6}"
989,"{7, 4}"
990,"{7, 8}"
991,"{6, 4}"
992,"{10, 7}"
993,"{8, 10}"
994,"{3, 10}"
995,"{6, 10}"
996,"{9, 10}"
997,"{2, 3}"
998,"{7, 10}"
999,"{4, 4}"
